theta,range
0,17.849636657077184
1,19.26814404636928
2,20.666643575360244
3,22.295881498977906
4,23.772821423303153
5,25.469347974811065
6,27.13233461692056
7,28.76058116486743
8,30.47062368199848
9,32.140141238792644
10,33.882013425442494
11,35.46537097066219
12,37.115251842256335
13,38.71666731065354
14,40.26866743776943
15,41.87477681784474
16,43.323365416758726
17,44.719963722761136
18,46.06380347468443
19,47.35416067485049
20,48.59035520255239
21,49.77175041716208
22,50.89775275119706
23,51.96781129367312
24,52.9814173640706
25,53.85262617041772
26,54.75382621668132
27,55.515446360812064
28,56.222594389446314
29,56.874937638926035
30,57.4721805303226
31,58.014064188876254
32,58.42723798985616
33,58.85949988706619
34,59.16609026436752
35,59.41999190545545
36,59.62109212730367
37,59.70443673062191
38,59.801348003261204
39,59.78361133108068
40,59.716086260992036
41,59.54014286621741
42,59.37464955097174
43,59.10385790334104
44,58.786486207492594
45,58.4226340451082
46,58.01242667836818
47,57.506178266766184
48,56.9567367135236
49,56.36427761627806
50,55.72899950946839
51,55.006793424760104
52,54.28793073900084
53,53.48533128506503
54,52.60323129117958
55,51.72394072143882
56,50.76831071816021
57,49.777002269129774
58,48.7503364930759
59,47.65462157200046
60,46.526709434569945
61,45.36695547065428
62,44.1757307727725
63,42.92420805866545
64,41.672413989637356
65,40.36349898158487
66,39.00138313941798
67,37.639069546131836
68,36.226710474876356
69,34.79045364656778
70,33.309570412114276
71,31.727457664112126
72,30.11450089122516
73,28.492370941778432
74,26.861561932691902
75,25.222570624613713
76,23.57589627060129
77,21.92204046404461
78,20.261506985875357
79,18.594801651110565
80,16.922432154775972
81,15.244907917257462
82,13.562739929126344
83,11.87644059548657
84,10.186523579890862
85,8.493503647874068
86,6.79789651015015
87,5.100218665521669
88,3.4009872435491135
89,1.700719847028131
