theta,range
0,18.55999999999996
1,20.151930293245897
2,21.73675047630963
3,23.60260902616684
4,25.457834509367252
5,27.445163842624346
6,29.41795752622556
7,31.518302842737537
8,33.74338415858623
9,35.94691677267516
10,38.126831654999215
11,40.423406767853564
12,42.69125121951061
13,44.928202678618206
14,47.132113673244774
15,49.440911932207534
16,51.711071158383824
17,53.940367663054516
18,55.98869466492882
19,58.13047918315941
20,60.22489678690106
21,62.26981069262822
22,64.26310868735817
23,66.2027042257005
24,68.08653751607615
25,69.78116197795424
26,71.54849326891429
27,73.25409384796629
28,74.7679938369731
29,76.21872521399528
30,77.73010004608244
31,79.04795745710247
32,80.29742197449232
33,81.47683261507603
34,82.46435319591981
35,83.50024832768278
36,84.34405024707515
37,85.11456173219787
38,85.81041195770895
39,86.43026768583319
40,86.86175759769331
41,87.3274222465224
42,87.60560297012468
43,87.70025282514989
44,87.82416831018509
45,87.86859458733797
46,87.73184763754507
47,87.51740656052094
48,87.12746151125377
49,86.75720941370196
50,86.21384972201291
51,85.59382606408359
52,84.80732600476537
53,84.03439654750815
54,83.09809384423158
55,82.08734345837186
56,80.92075480781969
57,78.81466301186153
58,76.68456348548065
59,74.53110507817837
60,72.35494375481119
61,70.15674239576899
62,67.93717059505104
63,65.69690445630785
64,63.43662638689614
65,61.15702489000196
66,58.85879435491358
67,56.542634845521356
68,54.20925188705208
69,51.859356251166375
70,49.49366373945503
71,47.11289496538867
72,44.71777513482335
73,42.309033825086644
74,39.88740476274146
75,37.45362560009498
76,35.00843769049034
77,32.552585862490076
78,30.08681819299355
79,27.61188577936195
80,25.128542510630968
81,22.637544837864144
82,20.13965154373475
83,17.635623511389877
84,15.126223492678468
85,12.612215875811348
86,10.094366452517741
87,7.573442184780895
88,5.050210971211823
89,2.52544141313985
