theta,range
0,17.84243495296378
1,19.131803646062387
2,20.65838473474112
3,22.161178023239476
4,23.763424389187588
5,25.336558270076374
6,27.00061811841734
7,28.74942001153384
8,30.341219370510938
9,32.12783238950857
10,33.75517387181461
11,35.45197370462515
12,37.10133056420833
13,38.702248383149715
14,40.25377712492527
15,41.755012455022765
16,43.20509539994504
17,44.603211994448515
18,45.94859291736671
19,47.24051311636462
20,48.57315400671383
21,49.75425816824409
22,50.78891470110595
23,51.860613132738656
24,52.875875745450216
25,53.83423464233312
26,54.65159209878529
27,55.414862515079584
28,56.20379410003913
29,56.856050047178556
30,57.37662788333193
31,57.92021232686095
32,58.40822532130751
33,58.76903304562134
34,59.07730734738516
35,59.332902103087186
36,59.53570379582626
37,59.62071368394572
38,59.71934144409189
39,59.70328499729274
40,59.63744683669473
41,59.52184092542176
42,59.299361116813564
43,59.0302336376316
44,58.7145314034625
45,58.352353287347405
46,57.94382385005328
47,57.439220721618696
48,56.93990297047979
49,56.30062238472581
50,55.66699999280658
51,54.99078198485339
52,54.2292167908782
53,53.42824757822399
54,52.54774967890923
55,51.67009347049203
56,50.716070138935265
57,49.72637018112802
58,48.70131413668342
59,47.60718368031719
60,46.513695178342736
61,45.35431450795318
62,44.13305470226222
63,42.91233411552607
64,41.63289225559791
65,40.325544065780804
66,38.96497517122359
67,37.60422913333723
68,36.19341839043993
69,34.75871023441562
70,33.27935878541433
71,31.71887467019742
72,30.10635423854868
73,28.48466311189178
74,26.854295273476776
75,25.215747349566694
76,23.56951845815988
77,21.916110056953904
78,20.2560257905963
79,18.589771337269827
80,16.91785425465724
81,15.240783825334654
82,13.559070901638876
83,11.873227750056637
84,10.183767895183177
85,8.491205963297652
86,6.796057525602517
87,5.098838941175865
88,3.4000671996828706
89,1.7002597638959642
